Straßenname	ungerade Hausnummer	gerade Hausnummer	Wahlkreis	Ortschaft	Wahlbezirk
Muldentalstraße	1-47	2-46	3	Liebertwolkwitz	3419
Muldentalstraße	49-99	48-112	3	Liebertwolkwitz	3409
Muldentalstraße	105-125B		3	Liebertwolkwitz	3439
Müllerring	3-75	2-8	8	Lindenthal	8311
Müllerring	77-103	18-38	8	Lindenthal	8312
Münzgasse	1-11	2-28	0		0310
Nachtigallenhain	1-15	2-30	3	Holzhausen	3509
Nachtigallenweg	1A-1B	2-10	9	Seehausen	9400
Nagelstraße	1-9	2-4	8	Lindenthal	8309
Narsdorfer Straße	1-13	2-16	4		4149
Narzissenweg	1-17	2-18	8	Lützschena-Stahmeln	8229
Naschmarkt	1-3	2	0		0019
Nathanaelstraße	1-19		7		7140
Nathanaelstraße	2-18		7		7159
Nathusiusstraße	1-17B		9		9309
Natonekstraße	2-32		8		9021
Natonekstraße	19-35		8		9070
Naumburger Straße	1-33	2-50	5		5129
Naumburger Straße	35-65		5		5139
Naundörfchen	2-32		0		0421
Naunhofer Landstraße	1-9	4-54	3	Liebertwolkwitz	3439
Naunhofer Straße	13-31	12-26	3		3140
Naunhofer Straße	33-49	28-50	3		3168
Naunhofer Straße	51-67	52-60	3		3169
Naunhofer Straße	69-137	62-120	3		3161
Nelkenweg	1-33	10	6		6149
Oelßnerstraße	1-1D	2A-2F	9		1220
Oelßnerstraße	7-25	2	9		1211
Oelßnerstraße	4-26		9		1211
Oelßnerstraße	27-33	28-34	9		1209
Oertgering	12-32		2	Engelsdorf	2900
Oeserstraße	1-5	2-20	5		5009
Oeserstraße	9-23	22-40	5		5048
Oeserstraße	27-41	42-46	5		5039
Offenbachweg	1-15	2-32	3		3319
Offenburger Straße	5-15		6		6209
Ohmweg	1-33	2-12	3		3130
Olbernhauer Straße	1		1		1421
Olbrichtstraße	2-2C		9		9100
Olbrichtstraße	4-4K		8		9231
Olbrichtstraße	5-11		8		8029
Olbrichtstraße	6-22		8		9211
Olbrichtstraße	13-15		8		8009
Olchinger Straße	5-27	2-26	9	Wiederitzsch	9519
Oldenburger Straße	1-13	2-18	8		9229
Oleanderweg	1-7	2-10	3	Liebertwolkwitz	3419
Ölhafenstraße	4–6		8		8119
Ölhafenstraße	1-7	8-14	8		8111
Onckenstraße	1-15	2-14	8		8102
Opalstraße	1-77	2-58E	2	Engelsdorf	2701
Opferweg	1	4-6	8		8119
Orchideenweg	1-19	4-18	3	Holzhausen	3509
Orchideenweg	21-27A	28	3	Holzhausen	3519
Orenburger Weg	1-17		5		6312
Ortrunweg	1-23	2-24	4		4309
Oschatzer Straße	1-7	2-4	3		3101
Oskar-Calov-Straße	1-15		3	Liebertwolkwitz	3409
Ossietzkystraße	1-21		1		1029
Ossietzkystraße	33-41	2-70	1		1009
Ostende	3-5	20	3	Liebertwolkwitz	3439
Österreicherweg	1-23	2-40	3		3211
Ostheimstraße	1A-17B	2A-40	2		2321
Osthöhe	1-41	2-46	2	Mölkau	2619
Ostplatz	5	4	3		3021
Ostrowskistraße	1-11		9		1319
Ostrowskistraße	13-35	2-34	9		1301
Oststraße	1-25	2-24	3		3021
Oststraße	31-53B	38-66	3		3039
Oststraße	55-89	66A-80	3		3049
Oststraße	91-101	94-116	3		3059
Oststraße	103-119		2		2249
Oststraße	118-128		3		3101
Oststraße	121-185		3		3130
Ostwaldstraße	4-6		1		2509
Oswald-Kahnt-Ring	1-13A	2-52	8	Lindenthal	8313
Oswald-Kahnt-Ring	15-37	54-84	8	Lindenthal	8312
Oswaldstraße	1-17		3		3039
Oswaldstraße	19-25		3		3089
Otterstraße	1-71	2-40	1		2511
Otto-Adam-Straße	1-23	4-24	9		9139
Otto-Engert-Straße	1-35	2-16	2	Mölkau	2601
Otto-Heinze-Straße	1-29A	2-34	9		1359
Otto-Michael-Straße	25-53	2-48	9		1321
Otto-Militzer-Straße	1-23	2-28	5		5301
Otto-Militzer-Straße	25-31		5		5319
Otto-Schill-Straße	1-9	2-10	0		0449
Otto-Schmiedt-Straße	1-47	2-34B	7		7309
Otto-Thiele-Straße	1-5	2-6	7	Rückmarsdorf	7529
Packhofstraße	2-6		0		0621
Pahlenweg	1-43	2-44	3		3301
Palmstraße	1-5	4	3		3059
Panitzstraße	1-19	2-14	5		5259
Pansastraße	29-31	22-38	7		7200
Papiermühlstraße	1A		3		3071
Papiermühlstraße	2-12A		3		3119
Papiermühlstraße	18-26		3		3129
Papiermühlstraße	3-67	28-42	3		3101
Papitzer Straße	2-4		8		8009
Pappelblick	13-29	20-22	1		1500
Pappelhof	1-47	2-48	9		1220
Pappelweg	1-25		7	Burghausen	7501
Parkring	1-153	4-162	8	Lindenthal	8309
Pflaumestraße	1-33	2-42	7	BöhLindenthalz-Ehrenberg	7402
Pflugkstraße	1-19	2-16	2	Mölkau	2619
Philippine-Arndt-Weg	3-7	2-10	2	Engelsdorf	2712
Philipp-Reis-Straße	1-99		7		7329
Philipp-Reis-Straße	2-80		7		7319
Philipp-Rosenthal-Straße	3-27E		0		0212
Philipp-Rosenthal-Straße	12-22		0		0220
Philipp-Rosenthal-Straße	29-57	32-68	0		0241
Pirolweg	1-11	2-38	8		8101
Pirolweg	15		8	Lindenthal	8321
Pistorisstraße	5-71	2-30	5		5049
Pitschkestraße	1-19	2-14	8	Lindenthal	8321
Pittlerstraße	2-4		8		8119
Pittlerstraße	1-33	6-34	8		8111
Plantagenweg	1-19	2-26	7	Burghausen	7501
Platanenstraße	1-19	2-34	2		2459
Platanenstraße	21-61	36-62	2		2439
Platanenweg	1-5	2-6	9	Wiederitzsch	9519
Platanenweg	7-15	8-16	9	Wiederitzsch	9511
Platnerstraße	1-17		8		9081
Platnerstraße	2-6		8		9070
Platostraße	1		0		0212
Platz des 20. Juli 1944	1	2	9		9100
Plaußiger Dorfstraße	1A-37	2-46	1	Plaußig	1520
Plaußiger Straße	1-39	2-34	2		2340
Plautstraße	2-16		7		7219
Plautstraße	18-50		7		7200
Plautstraße	52-56		7	Rückmarsdorf	7510
Plautstraße	13-41	78-80	6		6009
Plösener Straße	1-15	2-6	1		1401
Plösener Straße	8-16		1		1439
Ploßstraße	3-37	2-42	1		1061
Ploßstraße	39-49	44-56	1		1079
Plovdiver Straße	2-30		6		6549
Plovdiver Straße	32-74		6		6539
Plovdiver Straße	76-88		6		6509
Podelwitzer Straße	1-1A		9	Wiederitzsch	9520
Podelwitzer Straße	2-18		9	Wiederitzsch	9509
Podelwitzer Straße	5-73	22-68	9	Wiederitzsch	9531
Podelwitzer Weg	1-23	2-22	9	Seehausen	9400
Poetenweg	3-25		8		9069
Poetenweg	27-51	4-36	8		9081
Pögnerstraße	1-15	2-14	1		1079
Pohlentzstraße	1-17	2-14	4		4349
Pohlestraße	1-3	2-4	8		8071
Polenweg	1-11	2-12	3		3211
Pölitzstraße	4-32		8		9049
Pölitzstraße	9-29		8		9070
Polluxweg	1-3	2-12	7	Burghausen	7501
Pommernstraße	10-36		2		2249
Pommernstraße	57-79	60-80	3		3130
Ponickaustraße	3-29	2-26	5		5329
Popitzweg	1-3	2-6	9		9100
Pöppelmannstraße	5-29	2-32	2		2321
Pöppigstraße	1-39	4-26	1		1401
Porschestraße	1-3		8	Lützschena-Stahmeln	8229
Pörstener Straße	6-14		5		5259
Pörstener Straße	1-17	16	5		5249
Portitzer Allee	15	4-10B	1		2509
Portitzer Straße	1		2		2330
Portitzer Straße	2-10		2		2340
Portitzer Straße	12-60		2		2311
Portitzer Winkel	1-7	2-20A	1		1510
Portitzmühlweg	1-1A		1		1500
Portitzmühlweg	40		1	Plaußig	1520
Porzcikstraße	3-15A	2-18	1		1401
Porzcikstraße	20		1		1439
Porzcikstraße	20A		1		1401
Posadowskyanlagen	1-17	2-16	3		3059
Posastraße	15-27		1		1510
Poserstraße	3-87	2	1		1159
Pösnaer Straße	1-17	2-16	3		3151
Postreitergasse	1	2-4	2		2321
Poststraße	1-27	2-30	8	Lützschena-Stahmeln	8229
Potschkaustraße	2-74		6		6239
Pötzschker Weg	2-4		7		7239
Ranstädter Steinweg	4-30		0		0521
Räpitzer Straße	1	2-4	5	Hartmannsdorf-Knautnaundorf	5509
Rapsweg	1-179	2-194	5		5309
Rapunzelweg	1-11	2-10	0		4209
Raschwitzer Straße	1-15B		4		4359
Raschwitzer Straße	2-10		4		4349
Raschwitzer Straße	17-19	16	4		4401
Rasenweg	1-5	4-8	3	Holzhausen	3521
Rathausring	1-3	2	7	Miltitz	6602
Rathausstraße	7-9	2-12	7	Rückmarsdorf	7529
Rathenaustraße	1-15	4-54	7		7309
Rathenaustraße	15B-19A		7		7329
Rathenaustraße	21-23A		7		7319
Ratsfreischulstraße	3-5	2-10	0		0019
Ratzelstraße	2-38		5		5209
Ratzelstraße	40-102		6		6259
Ratzelstraße	47-101		5		5221
Ratzelstraße	145		5		6309
Ratzelstraße	151-167		5		6312
Ratzelstraße	213-223	166-210	5		6311
Ratzelstraße	222-224		6		6439
Rauchfussweg	3-7	4-6	2	Engelsdorf	2712
Raustraße	1-23	2-28	8		8101
Rebhuhnsteig	1-27	2-28	5		5401
Reclamstraße	1-29	4	1		2039
Reclamstraße	31-51	8-52	1		2059
Regenbogen	1-31	2-28	6		6489
Regenbogen	30-78		6		6491
Reginenstraße	2-24		8		9039
Reginenstraße	3-23		8		9021
Rehbacher Anger	3-33	2-30	5	Hartmannsdorf-Knautnaundorf	5509
Rehbacher Straße	5-9		5		5412
Rehbacher Straße	24-50		5		5409
Rehbacher Straße	27-83		5		5411
Rehbacher Straße	101-111	104-108	5	Hartmannsdorf-Knautnaundorf	5509
Rehpfad	1-9	2-10	5		5409
Rehwagenstraße	3-13	2-34	3	Holzhausen	3519
Reichelstraße	1-13	2-10B	0		0449
Reichelstraße	12		0		0429
Reichenberger Straße	1-41	2-46	7	Rückmarsdorf	7529
Reichpietschstraße	1-13		3		3001
Reichpietschstraße	23-51		3		3009
Reichpietschstraße	53-67	18-40	3		3019
Reichsbahnerstraße	1-13	2	2	Engelsdorf	2731
Reichsstraße	1-19	2-20	0		0019
Reiherweg	3	2	7	Burghausen	7501
Reineckestraße	29-37B	4-32	7		7200
Reinhardtstraße	1-45	2-64	2		2309
Reinhold-Krüger-Straße	1-7	2-8	3		3071
Reinhold-Schulze-Straße	1-5	2-14	3	Liebertwolkwitz	3409
Reinmuthweg	2-30		9		9100
Reiskestraße	3-21	2-14	3		3060
Rembrandtplatz	2-6		4		4349
Rembrandtstraße	25-39	28	4		4349
Renftstraße	1-3		8		8069
Renkwitzstraße	1-13		9		9149
Renkwitzstraße	2-12		9		9151
Rennbahnweg	1		0		0320
Rennbahnweg	2-2A		4		4009
Renoirstraße	3-33	2-32	8		9221
Resedaweg	7	8	2		2311
Residenzstraße	1-43	2-12	9	Seehausen	9419
Reudnitzer Straße	1-13		0		0109
Reuningstraße	1-13	2-28	8		8071
Richard-Dittrich-Straße	3-19	2-22	9	Wiederitzsch	9519
Richard-Lehmann-Straße	2-32		4		4111
Richard-Lehmann-Straße	19-47		4		4079
Richard-Lehmann-Straße	34-114		4		4121
Richard-Lehmann-Straße	47A-71		4		4099
Richard-Lehmann-Straße	73-77		4		4098
Richard-Lehmann-Straße	117-119	118-120	0		0241
Richard-Lehmann-Straße	124-126		0		4210
Richard-Leisebein-Straße	1-25	2-22	7	Burghausen	7501
Richard-Springer-Weg	3-21	2-26	3	Holzhausen	3529
Richard-Springer-Weg	23-39A	30-52	3	Holzhausen	3509
Richard-Wagner-Platz	1		0		0019
Rosa-Luxemburg-Straße	48A-72		1		2009
Roscherstraße	1-39	4-14	0		0619
Roseggerstraße	1-19	2-24	3		3229
Roseggerweg	3-5	6-8	3	Holzhausen	3521
Rosenbaumstraße	1	2-12	2	Mölkau	2601
Rosenholzweg	1-21	2-28	7	BöhLindenthalz-Ehrenberg	7441
Rosenmüllerstraße	1-5	14-16	7		7119
Rosenmüllerstraße	7-33	30-34	7		7341
Rosenowstraße	9-11	4-26	9		1209
Rosenowstraße	15-29	28A-44	9		1339
Rosenowstraße	31-89		9		1319
Rosenowstraße	56-80		9		1321
Rosenowstraße	99-127	96-120	9		1301
Rosenstraße	1-23	2-24	7	Miltitz	6602
Rosentalgasse	1-27	6-24	0		0521
Rosenweg	2-44		6		6149
Rosenweg	29-59	46-68	6		6129
Rosestraße	5-9	14-26	8	Lindenthal	8321
Rosestraße	11-17		8	Lindenthal	8309
Rosmarinweg	3-21	4-24	2		2311
Roßbachstraße	1-11	2-14	1		2141
Roßbachstraße	16-22		2		2201
Roßlauer Straße	1-11	2-12	9		9100
Roßmarkt	5-15	4-16	3	Liebertwolkwitz	3419
Roßmarktstraße	1-23	2-20	7		7159
Roßmarktstraße	25-37	22-38	7		7140
Roßmäßlerstraße	1-25	2-34	4		4101
Roßplatz	1-13	2-12	0		0200
Roßstraße	1-13	2-10	3	Liebertwolkwitz	3419
Rostocker Straße	1-9	2-72	1		1421
Rostocker Straße	108-114		1		1439
Rotbuchenweg	1-3	2-6	9	Wiederitzsch	9511
Rotdornstraße	11-53	12-18	2		2402
Rotfuchsstraße	1-41	2-14	1		2509
Rothenburger Straße	1-23A	4-24	5		6312
Röthische Straße	1-23	2-14	4		4349
Rotkäppchenweg	1-31	2-40	0		4221
Rotkehlchenweg	1-21		8		8102
Rotkehlchenweg	2-40		8		8101
Rousseaustraße	1-3		8		8029
Rubensstraße	1		3		3021
Rubensstraße	2-4		3		3039
Rübezahlweg	2-28		0		4209
Rübezahlweg	1-11	30-36	0		4201
Rubinstraße	1-19		2	Engelsdorf	2701
Rubinstraße	4-20		2	Engelsdorf	2729
Rückertstraße	1-21	4-20	9		9171
Rückmarsdorfer Straße	1-31	8-30A	7		7319
Rüdigerstraße	1-13	2-14	2		2340
Rudi-Opitz-Straße	1-7		9		9149
Rudi-Opitz-Straße	9-31	2-36	9		9139
Rudolf-Breitscheid-Hof	1-15	2-14	7	BöhLindenthalz-Ehrenberg	7419
Rudolf-Breitscheid-Straße	1-13		8	Lindenthal	8309
Rudolf-Breitscheid-Straße	6-22		8	Lindenthal	8321
Rudolph-Herrmann-Straße	1-19	2-8	3		3101
Rudolph-Herrmann-Straße	12-24		3		3129
Rudolph-Herrmann-Straße	21-33		3		3130
Rudolph-Sack-Straße	1-13	2-12	5		5119
Rudolph-Sack-Straße	16		5		5109
Rudolphstraße	5		0		0449
Rundkapellenweg	1-27	2-40	5	Hartmannsdorf-Knautnaundorf	5509
Russenstraße	3-133	4-92	3		3209
Russenstraße	94-146		3		3211
Russenstraße	135-143	186-194	3	Holzhausen	3529
Ruststraße	1-35	2-28	5		5259
Saalecker Straße	1-29		5		5129
Saalfelder Straße	1-29	2-72	7		7239
Saalfelder Straße	59-75	80	7		7200
Saarbrückenstraße	1-17	2-14	2		2219
Saarländer Straße	1-27	2-42	7		7239
Saarlouiser Straße	3-59	2-42	2		2249
Sabinenstraße	1	2-12	2	Engelsdorf	2712
Sabinenstraße	3-5	14-16	2	Engelsdorf	2711
Sachsenhöhe	1-45	2-38	7	Rückmarsdorf	7529
Sachsenseite	2-16		0		0109
Sachsenstraße	1-19	10-24	2		2471
Schlesierstraße	51-53	50-52	3		3161
Schletterstraße	1-3		0		0339
Schletterstraße	5-7	2-26	0		0341
Schleußiger Weg	1-5		4		4101
Schleußiger Weg	2-2A		4		4009
Schleußiger Weg	7	4-18	5		5049
Schlippe	1-9		1		1029
Schlößchenweg	1-5A	2-8	8		9081
Schloßgasse	2-8		0		0019
Schloßweg	1-11	4-8B	8	Lützschena-Stahmeln	8219
Schlotterbeckstraße	9-11	2-4	9		9139
Schmalkaldener Weg	1-15	2-4	6		6029
Schmetterlingsweg	3-17	2-4	5		5339
Schmidstraße	1-17	8-20	9	Wiederitzsch	9509
Schmidt-Rühl-Straße	1-23	2-28	1		1029
Schmidt-Rühl-Straße	25	30-38	1		1030
Schmiedeberger Straße	1-21	2-24	5		6311
Schmiedegasse	3-29	2-20	9	Wiederitzsch	9520
Schmiedestraße	1-15	2-14	5		5109
Schmitzstraße	1-11	4-44	2		2321
Schmutzlerstraße	1-15	2-10	8		9049
Schneeballweg	1-23	2-32	2	Engelsdorf	2712
Schneeberger Straße	1-35	2-18	1		1421
Schneewittchenweg	1-31	2-24	0		4221
Schneewittchenweg	26-34		0		4209
Schneiderstraße	1-13	2-16	9		1209
Schnittergasse	3-5B	2	8	Lindenthal	8309
Schnorrstraße	1B-19		5		5048
Schnorrstraße	6-26A		5		5009
Schnorrstraße	23-31		5		5039
Schnorrstraße	28-42		5		5029
Schöfflerweg	1-15	2-14	2	Engelsdorf	2711
Schomburgkstraße	1-9	2-14	7		7200
Schönauer Landstraße	2-8		7	BöhLindenthalz-Ehrenberg	7439
Schönauer Landstraße	101-105		7	BöhLindenthalz-Ehrenberg	7419
Schönauer Landstraße	111		7	Rückmarsdorf	7510
Schönauer Ring	1-71	32	6		6009
Schönauer Ring	44		6		6029
Schönauer Ring	73-85		6		6039
Schönauer Straße	93-109O		5		5319
Schönauer Straße	100-162		5		5301
Schönauer Straße	111-113D		5		5309
Schönauer Straße	115-121A		5		6312
Schönauer Straße	121B-123		5		6309
Schönauer Straße	141		6		6259
Schönauer Straße	172-218		5		5221
Schönauer Straße	220-224		5		5209
Schönauer Straße	235-245		6		6039
Schönauer Straße	240		6		6009
Schönauer Weg	6		5		5221
Schönbachstraße	2-16		3		3168
Schönbachstraße	1-75	20-38A	3		3140
Schönbachstraße	40-78B		3		3119
Schönbachstraße	77-93A	80-88	3		3101
Schönbergstraße	3-11	2-4	5		5412
Schönefelder Allee	1-11	2-12	1		1059
Schönefelder Allee	13-17	14-18	1		1030
Schönefelder Allee	19-23	20-24	1		1029
Schönefelder Allee	23A	26	1		1009
Schönefelder Allee	25		1		1029
Schönefelder Straße	1-13		9		9329
Schönefelder Straße	21A-67	2-70	9		9359
Schongauerstraße	1-45		2		2489
Schopenhauerstraße	1-31	2-36	9		9151
Schorlemmerstraße	1-13	2-12	8		9029
Schorndorfer Weg	1-5	2-6	7	BöhLindenthalz-Ehrenberg	7429
Schrägweg	23-35	2	8	Lützschena-Stahmeln	8229
Schrammsteinstraße	1-5		6		6489
Schrammsteinstraße	7-11		6		6469
Schrebergäßchen	1-3	2-4	0		0419
Schreberstraße	1-15	2-14B	0		0419
Schreiberstraße	4-6		1		1029
Schreinerweg	1		8	Lützschena-Stahmeln	8229
Schröderstraße	1	2-6	7	Burghausen	7501
Schubarthstraße	1-15	2-24	2	Mölkau	2619
Schubertstraße	1	2-4	8		8069
Semperstraße	1-15	2-16	2		2321
Senefelderstraße	1-17	8-18	1		2039
Sesenheimer Straße	1A-69B	2A-60	8		8009
Seumestraße	1-51	2-64	5		5401
Seumestraße	55-99	66-104	5		5409
Seumestraße	101A-171	106-212	5		5412
Shakespeareplatz	1-9	2-10	0		0339
Shakespearestraße	2-26		0		0338
Shakespearestraße	3-15		0		0339
Shakespearestraße	25-55	30-66	0		0359
Shukowstraße	4-40		1		1149
Shukowstraße	42-48		1		1129
Shukowstraße	50-56		1		1109
Siedlereck	1-3	2	3	Liebertwolkwitz	3439
Siedlerweg	1-19	4-22	9	Wiederitzsch	9520
Siegfriedplatz	1-7	2-8	4		4369
Siegfriedplatz	9-15	10-16	4		4359
Siegfriedstraße	1-3		4		4349
Siegfriedstraße	2-12		4		4359
Siegfriedstraße	40		4		4329
Siemensstraße	23	14-22	5		5140
Siemensstraße	25-45	24-48	5		5139
Siemeringstraße	1-23	2-30	7		7029
Sigebandweg	1-63	2-52	4		4309
Sigismundstraße	1-5		3		3009
Sigismundstraße	2-8		3		3019
Silbermannstraße	1-11	2-8	5		5049
Silcherstraße	1-3	2A	7		7341
Silcherstraße	2		7		7319
Silcherstraße	4		7		7319
Simildenstraße	1-13		4		4101
Simildenstraße	2-36		4		4109
Simón-Bolívar-Straße	87-111	90-112	9		1359
Simsonplatz	1		0		0301
Simsonstraße	5-7	2-8	0		0301
Simsonstraße	9-11	10	0		0320
Singdrosselweg	1-15		7	BöhLindenthalz-Ehrenberg	7419
Siriusweg	1-11	2-28	6		6509
Slevogtstraße	4-10		8		8071
Slevogtstraße	5-19		8		8011
Slevogtstraße	21-27	16-18	8		8069
Slevogtstraße	20-24		8		8049
Slevogtstraße	41		8		8039
Smaragdstraße	1-19	4-24	2	Engelsdorf	2709
Söllichauer Straße	3-7	2-12	9	Wiederitzsch	9531
Sommerfelder Straße	1-65	2-60	3		3130
Sommerfelder Straße	71-79	78-126	2	Mölkau	2609
Sommerfelder Straße	93-129		2	Mölkau	2601
Sommerfelder Weg	1-123	2-124	2		2489
Sommerlindenstraße	1-19	2-22	2	Engelsdorf	2729
Sonneberger Weg	3-39	2-10	6		6029
Sonnengasse	3-19	2-22	2	Engelsdorf	2900
Sonnenweg	3-11	4-18	3	Holzhausen	3521
Sonnenwinkel	1-59	2-128	3		3161
Sophienstraße	1-19	2-20	8	Lindenthal	8309
Sophie-Scholl-Straße	1-39	2-44	2	Mölkau	2609
Sorbenstraße	1-13	2-20	8		8111
Sosaer Straße	1-29		1		1410
Sosaer Straße	31-39	2-48	1		1421
Spatzenweg	7-15	6-8	8	Lindenthal	8309
Spechtweg	1-5	2-10	3	Holzhausen	3509
Spendegasse	1-3		7	Rückmarsdorf	7529
Sperlingsgasse	1-7		8		8101
Sperlingsgrund	11-27	12-28	9	Wiederitzsch	9511
Sperontesstraße	3-5	2-10	5		5412
Spetlakstraße	1-51	6-34	9		1220
Spinnereistraße	7-13	2-18	7		7239
Spittastraße	1-21	2-16	7		7121
Spittastraße	18-42		7		7109
Spitzwegstraße	1-55		2		2471
Spitzwegstraße	2-30		2		2489
Spohrstraße	1-5	2-12	0		0211
Sporergäßchen	1	2-6	0		0019
Sportplatzstraße	1-9	2-20	9	Wiederitzsch	9531
Sportplatzweg	1-17	4-8	7	Rückmarsdorf	7529
Sprikkenweg	3-19		7	BöhLindenthalz-Ehrenberg	7419
Störmthaler Straße	1-53		3	Liebertwolkwitz	3439
Störmthaler Straße	2-60		3	Liebertwolkwitz	3409
Stötteritzer Landstraße	1-35	2-26	3	Holzhausen	3519
Stötteritzer Landstraße	35A-51		3	Holzhausen	3521
Stötteritzer Landstraße	55-91	28-108	3	Holzhausen	3529
Stötteritzer Straße	1-25		3		3039
Stötteritzer Straße	37-39	2-42	3		3089
Stötteritzer Straße	43-45		3		3060
Stötteritzer Straße	71-85		3		3071
Stralsunder Straße	7-27	2-50	9		1359
Stralsunder Straße	29-41		9		1341
Stralsunder Straße	43-61		9		1359
Stralsunder Straße	95-103		9		1301
Stralsunder Straße	133	96-134	1		1401
Stralsunder Straße	139-187	136-168	1	Plaußig	1520
Straßbergerstraße	1-21	2-18	3	Liebertwolkwitz	3409
Straße am Park	2		5		5209
Straße am Park	3-5	4-54	6		6169
Straße am See	1		6		6491
Straße am See	10		6		6409
Straße am See	11		7	Miltitz	6602
Straße der 53	3-5	2	8	Lindenthal	8309
Straße der Einheit	1-33	2-30	7	Rückmarsdorf	7510
Straße des 17. Juni	9-11	2-2A	0		0310
Straße des 18. Oktober	3-17	2-10A	0		0220
Straße des 18. Oktober	18-36		0		0230
Straße des 18. Oktober	19-35	44-48	0		0241
Straße des 18. Oktober	100		3		3209
Strelitzer Straße	1-49	2-52	8		9221
Stresemannstraße	1-11	2-20	2	Engelsdorf	2729
Stroganowweg	1-15	2-16	3		3319
Strümpellstraße	4-8		3		3219
Strümpellstraße	5-41	12-40	3		3209
Stünzer Straße	1-11	2-10	2		2231
Stünzer Weg	1-3	2-10	2	Mölkau	2601
Stünz-Mölkauer Weg	1-13	2-48	2		2330
Stuttgarter Allee	3-9	2-4	6		6259
Stuttgarter Allee	6-32		6		6269
Stuttgarter Allee	11-23		6		6249
Stuttgarter Allee	29-41		6		6209
Südblick	5-7	2-34	2		2420
Südplatz	1		4		4011
Südstraße	5-11	2-30	7	BöhLindenthalz-Ehrenberg	7441
Südstraße	13-65		7	BöhLindenthalz-Ehrenberg	7402
Südstraße	32-64		7	BöhLindenthalz-Ehrenberg	7421
Südstraße	65A-71		7	BöhLindenthalz-Ehrenberg	7401
Südstraße	68-74		7	BöhLindenthalz-Ehrenberg	7419
Suhler Straße	1-57	4-30	6		6029
Sulzbacher Straße	1-21		2		2249
Swiftstraße	1A-57	2A-64	8		8009
Sybelstraße	1-15	2-20	2		2330
Sylter Straße	29-49	2-60	8		9209
Talstraße	7-21	8-12A	0		0211
Talstraße	23-35	14-34	0		0212
Tannenwaldstraße	15	2-18	8		8102
Tannenweg	1-17	2-14	3	Holzhausen	3529
Tarostraße	2-8		0		0220
Tarostraße	1-19	10-20	0		0230
Täschners Garten	3-23	2-16	3	Holzhausen	3529
Täschnerstraße	1-5	2-6	3		3209
Täubchenweg	1-7		0		0211
Täubchenweg	17-43	8-18	3		3001
Täubchenweg	43B-77B	24-76	3		3009
Täubchenweg	79-87	84-90	3		3019
Taubenbergweg	1	2-6	5	Hartmannsdorf-Knautnaundorf	5509
Taubestraße	1-21	2-10	1		1059
Taubestraße	23-41	12-42	1		1030
Taubestraße	43-57		1		1029
Taubestraße	61-67	46-54	1		1009
Tauchaer Straße	1-19		9		1359
Tauchaer Straße	2-18		9		1360
Tauchaer Straße	53-107	50-72	1		1401
Tauchaer Straße	76-94		1		1410
Tauchaer Straße	96-136		1		1421
Tauchaer Straße	109-145	188-240	1		1439
Tauchaer Straße	260-412		1		1510
Torgauer Straße	49-51		1		1149
Torgauer Straße	100-108		2		2311
Torgauer Straße	114-246		2		2309
Torgauer Straße	290		2		2401
Torgauer Straße	231-333	300-338	1		2509
Tornauer Straße	1-3	2-6	9	Wiederitzsch	9531
Torstensonring	15-17	10-16	8	Lindenthal	8309
Toskastraße	3-5		8		8069
Toskastraße	9-55	2-38B	8		8011
Trattendorfer Weg	1-21	2-16	5		6312
Traubengasse	1		5		5339
Travniker Straße	300		8		8111
Trendelenburgstraße	2-28		3		3209
Tresckowstraße	4-14		9		9100
Triftsiedlung	1-81	2-72	8	Lindenthal	8321
Triftstraße	2-8		7	Miltitz	6601
Triftstraße	9-11	10-24	7	Miltitz	6602
Triftweg	1-73		0		4210
Triftweg	6-76		0		4221
Trinitatisstraße	1-9	2-8	2		2231
Tröndlinring	3-9	2-8	0		0621
Trötzschelstraße	1-3		1		1061
Trötzschelstraße	2-6		1		1079
Trufanowstraße	1-35	2-26	0		0609
Trufanowstraße	39-47	28-34	0		0601
Trusetaler Weg	1-9	2-12	6		6029
Tschaikowskistraße	1-19	2-16	0		0549
Tschaikowskistraße	21-33	18-30	0		0530
Tschechenbogen	1-27	2-16	3		3211
Tschernyschewskistraße	3-37	8-36	9		1339
Tübkebogen	1-41	6-38	3		3211
Tucholskystraße	1-11	2-6	7	Rückmarsdorf	7510
Tulpenweg	1-23	2-22	2		2311
Turgenjewstraße	1-33	2-38	9		1301
Türkisstraße	1-9	2-4	2	Engelsdorf	2701
Turmalinstraße	1-17		2	Engelsdorf	2709
Turmalinstraße	10-18		2	Engelsdorf	2701
Turmgutstraße	1-3	2	8		9081
Turmweg	7-17	4-28	0		4210
Turnerstraße	1-5		0		0200
Uferstraße	11-21	16-20	0		0621
Uhlandstraße	1-7	2-4	7		7131
Uhlandstraße	6-8		7		7119
Uhlandstraße	9-23	10-26	7		7121
Uhlandstraße	25-45		7		7109
Uhlandstraße	28-40		7		7119
Uhlandweg	3-11	2-10	2	Mölkau	2601
Uhrigstraße	1-15	2-8	8		8039
Ulmenweg	1-11	2-32	2	Mölkau	2629
Ulmer Straße	1-7	2-26	6		6209
Ulmer Straße	9-25		6		6219
Ulrichstraße	1	2-6	8		9029
Undinenweg	1-13	2-18	0		4209
Ungerstraße	3-15	2-22	2		2221
Ungerstraße	17-23		2		2249
