Wbz	Wahlraum	Anschrift	BF
6129	Maria-Montessori-Schulzentrum	Alte Salzstraße 61	1
7439	Schule Gundorf	Leipziger Straße 210	1
6149	Maria-Montessori-Schulzentrum	Alte Salzstraße 61	1
7441	Soziokulturelles Zentrum „Große Eiche“	Leipziger Str. 81	1
6159	Joachim-Ringelnatz-Schule	Grünauer Allee 35	1
7501	ehem. Gemeindeamt Burghausen	Miltitzer Straße 1	0
6169	Joachim-Ringelnatz-Schule	Grünauer Allee 35	1
7510	Ortsteilzentrum Rückmarsdorf	Ehrenberger Straße 5A	0
6209	Friedrich-Fröbel-Schule	Mannheimer Straße 128C	0
7529	Schule Rückmarsdorf	An der Friedenseiche 4	0
6219	Friedrich-Fröbel-Schule	Mannheimer Straße 128C	0
8009	Werner-Heisenberg-Schule (Außenstelle)	Diderotstr. 35	0
6239	84. Schule	Stuttgarter Allee 5	0
8011	Werner-Heisenberg-Schule	Renftstraße 3	1
6249	Freizeittreff Völkerfreundschaft	Stuttgarter Allee 9	1
8029	Werner-Heisenberg-Schule (Außenstelle)	Diderotstr. 35	0
6259	84. Schule	Stuttgarter Allee 5	0
8039	Werner-Heisenberg-Schule (Außenstelle)	Diderotstr. 35	0
6269	Freizeittreff Völkerfreundschaft	Stuttgarter Allee 9	1
8049	Werner-Heisenberg-Schule	Renftstraße 3	0
6279	84. Schule	Stuttgarter Allee 5	0
8059	Werner-Heisenberg-Schule (Außenstelle)	Diderotstr. 35	0
6309	85. Schule	Stuttgarter Allee 3	0
8069	Werner-Heisenberg-Schule	Renftstraße 3	0
6311	85. Schule	Stuttgarter Allee 3	0
8071	Werner-Heisenberg-Schule	Renftstraße 3	0
6312	84. Schule	Stuttgarter Allee 5	0
8101	Paul-Robeson-Schule	Jungmannstraße 5	0
6409	KOMM-Haus	Selliner Straße 17	1
8102	Paul-Robeson-Schule	Jungmannstraße 5	0
6419	78. Schule	Binzer Straße 14	0
8111	Konvent Sankt Albert	Georg-Schumann-Straße 336	1
